site_name_id,site_name,site_area_id,site_area,date_time,day,month,year,hour,minute,enterococci_value
99550,Dromana Beach,1282.0,Dromana,22/02/2018 07:57,Thursday,February,2018,7,57,31
99550,Dromana Beach,1282.0,Dromana,01/03/2018 07:40,Thursday,March,2018,7,40,41
99550,Dromana Beach,1282.0,Dromana,06/03/2018 08:15,Tuesday,March,2018,8,15,10
99550,Dromana Beach,1282.0,Dromana,07/03/2018 07:20,Wednesday,March,2018,7,20,10
99550,Dromana Beach,1282.0,Dromana,04/12/2018 07:45,Tuesday,December,2018,7,45,31
99550,Dromana Beach,1282.0,Dromana,18/12/2018 07:40,Tuesday,December,2018,7,40,41
99550,Dromana Beach,1282.0,Dromana,27/12/2018 07:55,Thursday,December,2018,7,55,20
99550,Dromana Beach,1282.0,Dromana,02/01/2019 07:30,Wednesday,January,2019,7,30,10
99550,Dromana Beach,1282.0,Dromana,08/01/2019 08:20,Tuesday,January,2019,8,20,52
99550,Dromana Beach,1282.0,Dromana,15/01/2019 08:00,Tuesday,January,2019,8,0,10
99550,Dromana Beach,1282.0,Dromana,22/01/2019 07:25,Tuesday,January,2019,7,25,10
99550,Dromana Beach,1282.0,Dromana,05/02/2019 07:45,Tuesday,February,2019,7,45,10
99550,Dromana Beach,1282.0,Dromana,26/02/2019 07:50,Tuesday,February,2019,7,50,10
99550,Dromana Beach,1282.0,Dromana,05/03/2019 08:10,Tuesday,March,2019,8,10,10
99550,Dromana Beach,1282.0,Dromana,10/12/2019 07:10,Tuesday,December,2019,7,10,52
99550,Dromana Beach,1282.0,Dromana,30/12/2019 07:05,Monday,December,2019,7,5,380
99550,Dromana Beach,1282.0,Dromana,31/12/2019 11:35,Tuesday,December,2019,11,35,17
99550,Dromana Beach,1282.0,Dromana,07/01/2020 07:40,Tuesday,January,2020,7,40,10
99550,Dromana Beach,1282.0,Dromana,21/01/2020 07:20,Tuesday,January,2020,7,20,110
99550,Dromana Beach,1282.0,Dromana,28/01/2020 07:25,Tuesday,January,2020,7,25,10
99550,Dromana Beach,1282.0,Dromana,04/02/2020 07:35,Tuesday,February,2020,7,35,20
99550,Dromana Beach,1282.0,Dromana,11/02/2020 07:45,Tuesday,February,2020,7,45,10
99550,Dromana Beach,1282.0,Dromana,25/02/2020 08:15,Tuesday,February,2020,8,15,20
99550,Dromana Beach,1282.0,Dromana,03/03/2020 08:12,Tuesday,March,2020,8,12,31
